source,target
BIGBOX-1,2780
BIGBOX-1,43093
BIGBOX-1,3023
BIGBOX-1,6558
BIGBOX-1,4274
75192-1,2780
75192-1,15712
75192-1,3023
75192-1,6558
75192-1,3021
71043-1,2420
71043-1,54200
71043-1,15573
71043-1,2412b
71043-1,3005
10256-1,3062b
10256-1,3005
10256-1,3024
10256-1,2877
10189-1,3062b
10189-1,3005
10189-1,3024
10189-1,2877
SWMP-1,3023
SWMP-1,3710
SWMP-1,3024
2000409-1,4286
2000409-1,3004
2000409-1,3005pr0003
2000409-1,3010
2000409-1,3957b
10179-1,2780
10179-1,3023
10179-1,6558
10179-1,3021
10179-1,3710
70620-1,2817
70620-1,99207
70620-1,3023
70620-1,85861
70620-1,3069b
75252-1,99563
75252-1,2780
75252-1,2412b
75252-1,6558
75252-1,3069b
75827-1,87087
75827-1,3010
75827-1,3070b
75827-1,11211
75827-1,3069b
40179-1,3024
10214-1,54200
10214-1,3794b
10214-1,32028
10214-1,87087
10214-1,3005
10253-1,32028
10253-1,3005
10253-1,3024
10253-1,3023
10261-1,92280
10261-1,3941
10261-1,14696
10261-1,4032a
10261-1,87580
42100-1,2780
42100-1,43093
42100-1,88323
42100-1,6558
42100-1,11214
71040-1,3023
71040-1,3070b
71040-1,6141
71040-1,3024
42082-1,32062
42082-1,2780
42082-1,43093
42082-1,6558
42082-1,11214
75159-1,3020
75159-1,3022
75159-1,3021
75159-1,3004
10255-1,54200
10255-1,3069b
10255-1,15573
10255-1,11211
